19:57:13 | localhost       | Timeout | 0s | TCP | Попытка: 1
19:57:13 | google.com      | OK      | 79ms | TCP | Попытка: 1
19:57:13 | google.com      | OK      | 78ms | TCP | Попытка: 1
19:57:13 | github.com      | OK      | 119ms | TCP | Попытка: 1
19:57:25 | localhost       | Timeout | 0s | TCP | Попытка: 1
19:57:25 | google.com      | OK      | 69ms | TCP | Попытка: 1
19:57:25 | google.com      | OK      | 76ms | TCP | Попытка: 1
19:57:25 | github.com      | OK      | 84ms | TCP | Попытка: 1
19:57:32 | localhost       | Timeout | 0s | TCP | Попытка: 1
19:57:32 | google.com      | OK      | 74ms | TCP | Попытка: 1
19:57:32 | google.com      | OK      | 75ms | TCP | Попытка: 1
19:57:32 | github.com      | OK      | 93ms | TCP | Попытка: 1
19:57:34 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 1
19:58:03 | localhost       | Timeout | 0s | TCP | Попытка: 1
19:58:03 | google.com      | OK      | 70ms | TCP | Попытка: 1
19:58:03 | google.com      | OK      | 73ms | TCP | Попытка: 1
19:58:03 | github.com      | OK      | 84ms | TCP | Попытка: 1
19:58:05 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 1
20:00:55 | localhost       | Timeout | 0s | TCP | Попытка: 1
20:00:55 | google.com      | OK      | 176ms | TCP | Попытка: 1
20:00:55 | google.com      | OK      | 176ms | TCP | Попытка: 1
20:00:55 | github.com      | OK      | 194ms | TCP | Попытка: 1
20:00:56 | localhost       | Timeout | 0s | TCP | Попытка: 2
20:00:56 | google.com      | OK      | 58ms | TCP | Попытка: 2
20:00:56 | google.com      | OK      | 62ms | TCP | Попытка: 2
20:00:56 | github.com      | OK      | 71ms | TCP | Попытка: 2
20:00:57 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 1
20:00:57 | localhost       | Timeout | 0s | TCP | Попытка: 3
20:00:57 | google.com      | OK      | 55ms | TCP | Попытка: 3
20:00:57 | google.com      | OK      | 58ms | TCP | Попытка: 3
20:00:57 | github.com      | OK      | 73ms | TCP | Попытка: 3
20:01:00 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 2
20:01:03 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 3
20:02:13 | localhost       | Timeout | 0s | TCP | Попытка: 1
20:02:13 | google.com      | OK      | 71ms | TCP | Попытка: 1
20:02:13 | google.com      | OK      | 71ms | TCP | Попытка: 1
20:02:13 | github.com      | OK      | 84ms | TCP | Попытка: 1
20:02:14 | localhost       | Timeout | 0s | TCP | Попытка: 2
20:02:14 | google.com      | OK      | 59ms | TCP | Попытка: 2
20:02:14 | google.com      | OK      | 59ms | TCP | Попытка: 2
20:02:14 | github.com      | OK      | 68ms | TCP | Попытка: 2
20:02:15 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 1
20:02:15 | localhost       | Timeout | 0s | TCP | Попытка: 3
20:02:15 | google.com      | OK      | 58ms | TCP | Попытка: 3
20:02:15 | google.com      | OK      | 60ms | TCP | Попытка: 3
20:02:15 | github.com      | OK      | 76ms | TCP | Попытка: 3
20:02:18 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 2
20:02:21 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 3
20:03:34 | localhost       | Timeout | 0s | TCP | Попытка: 1
20:03:34 | google.com      | OK      | 104ms | TCP | Попытка: 1
20:03:34 | google.com      | OK      | 105ms | TCP | Попытка: 1
20:03:34 | github.com      | OK      | 116ms | TCP | Попытка: 1
20:03:35 | localhost       | Timeout | 0s | TCP | Попытка: 2
20:03:35 | google.com      | OK      | 56ms | TCP | Попытка: 2
20:03:35 | google.com      | OK      | 58ms | TCP | Попытка: 2
20:03:35 | github.com      | OK      | 70ms | TCP | Попытка: 2
20:03:36 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 1
20:03:36 | localhost       | Timeout | 0s | TCP | Попытка: 3
20:03:36 | google.com      | OK      | 53ms | TCP | Попытка: 3
20:03:36 | google.com      | OK      | 57ms | TCP | Попытка: 3
20:03:36 | github.com      | OK      | 73ms | TCP | Попытка: 3
20:03:37 | localhost       | Timeout | 0s | TCP | Попытка: 4
20:03:37 | google.com      | OK      | 69ms | TCP | Попытка: 4
20:03:37 | google.com      | OK      | 63ms | TCP | Попытка: 4
20:03:37 | github.com      | OK      | 72ms | TCP | Попытка: 4
20:03:38 | localhost       | Timeout | 0s | TCP | Попытка: 5
20:03:38 | google.com      | OK      | 57ms | TCP | Попытка: 5
20:03:38 | google.com      | OK      | 58ms | TCP | Попытка: 5
20:03:38 | github.com      | OK      | 73ms | TCP | Попытка: 5
20:03:39 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 2
20:03:39 | localhost       | Timeout | 0s | TCP | Попытка: 6
20:03:39 | google.com      | OK      | 54ms | TCP | Попытка: 6
20:03:39 | google.com      | OK      | 54ms | TCP | Попытка: 6
20:03:39 | github.com      | OK      | 68ms | TCP | Попытка: 6
20:03:40 | localhost       | Timeout | 0s | TCP | Попытка: 7
20:03:40 | google.com      | OK      | 61ms | TCP | Попытка: 7
20:03:40 | google.com      | OK      | 63ms | TCP | Попытка: 7
20:03:40 | github.com      | OK      | 78ms | TCP | Попытка: 7
20:03:41 | localhost       | Timeout | 0s | TCP | Попытка: 8
20:03:41 | google.com      | OK      | 60ms | TCP | Попытка: 8
20:03:41 | google.com      | OK      | 59ms | TCP | Попытка: 8
20:03:41 | github.com      | OK      | 73ms | TCP | Попытка: 8
20:03:42 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 3
20:03:42 | localhost       | Timeout | 0s | TCP | Попытка: 9
20:03:42 | google.com      | OK      | 61ms | TCP | Попытка: 9
20:03:42 | google.com      | OK      | 61ms | TCP | Попытка: 9
20:03:42 | github.com      | OK      | 75ms | TCP | Попытка: 9
20:03:43 | localhost       | Timeout | 0s | TCP | Попытка: 10
20:03:43 | google.com      | OK      | 58ms | TCP | Попытка: 10
20:03:43 | google.com      | OK      | 63ms | TCP | Попытка: 10
20:03:43 | github.com      | OK      | 69ms | TCP | Попытка: 10
20:03:44 | localhost       | Timeout | 0s | TCP | Попытка: 11
20:03:44 | google.com      | OK      | 58ms | TCP | Попытка: 11
20:03:44 | google.com      | OK      | 58ms | TCP | Попытка: 11
20:03:44 | github.com      | OK      | 73ms | TCP | Попытка: 11
20:03:45 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 4
20:03:45 | localhost       | Timeout | 0s | TCP | Попытка: 12
20:03:45 | google.com      | OK      | 55ms | TCP | Попытка: 12
20:03:45 | google.com      | OK      | 55ms | TCP | Попытка: 12
20:03:46 | github.com      | OK      | 69ms | TCP | Попытка: 12
20:03:46 | localhost       | Timeout | 0s | TCP | Попытка: 13
20:03:46 | google.com      | OK      | 56ms | TCP | Попытка: 13
20:03:46 | google.com      | OK      | 56ms | TCP | Попытка: 13
20:03:47 | github.com      | OK      | 72ms | TCP | Попытка: 13
20:03:47 | localhost       | Timeout | 0s | TCP | Попытка: 14
20:03:48 | google.com      | OK      | 59ms | TCP | Попытка: 14
20:03:48 | google.com      | OK      | 59ms | TCP | Попытка: 14
20:03:48 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 5
20:03:48 | github.com      | OK      | 75ms | TCP | Попытка: 14
20:03:48 | localhost       | Timeout | 0s | TCP | Попытка: 15
20:03:49 | google.com      | OK      | 54ms | TCP | Попытка: 15
20:03:49 | google.com      | OK      | 57ms | TCP | Попытка: 15
20:03:49 | localhost       | Timeout | 0s | TCP | Попытка: 16
20:03:49 | github.com      | OK      | 70ms | TCP | Попытка: 15
20:03:50 | google.com      | OK      | 57ms | TCP | Попытка: 16
20:03:50 | google.com      | OK      | 58ms | TCP | Попытка: 16
20:03:50 | localhost       | Timeout | 0s | TCP | Попытка: 17
20:03:50 | github.com      | OK      | 69ms | TCP | Попытка: 16
20:03:51 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 6
20:03:51 | google.com      | OK      | 57ms | TCP | Попытка: 17
20:03:51 | google.com      | OK      | 59ms | TCP | Попытка: 17
20:03:51 | localhost       | Timeout | 0s | TCP | Попытка: 18
20:03:51 | github.com      | OK      | 73ms | TCP | Попытка: 17
20:03:52 | localhost       | Timeout | 0s | TCP | Попытка: 19
20:03:52 | google.com      | OK      | 55ms | TCP | Попытка: 18
20:03:52 | google.com      | OK      | 58ms | TCP | Попытка: 18
20:03:52 | github.com      | OK      | 80ms | TCP | Попытка: 18
20:03:53 | localhost       | Timeout | 0s | TCP | Попытка: 20
20:03:53 | google.com      | OK      | 100ms | TCP | Попытка: 19
20:03:53 | google.com      | OK      | 87ms | TCP | Попытка: 19
20:03:53 | github.com      | OK      | 73ms | TCP | Попытка: 19
20:03:54 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 7
20:03:54 | localhost       | Timeout | 0s | TCP | Попытка: 21
20:03:54 | google.com      | OK      | 57ms | TCP | Попытка: 20
20:03:54 | google.com      | OK      | 66ms | TCP | Попытка: 20
20:03:54 | github.com      | OK      | 74ms | TCP | Попытка: 20
20:03:55 | localhost       | Timeout | 0s | TCP | Попытка: 22
20:03:55 | google.com      | OK      | 56ms | TCP | Попытка: 21
20:03:55 | google.com      | OK      | 53ms | TCP | Попытка: 21
20:03:55 | github.com      | OK      | 75ms | TCP | Попытка: 21
